city_id,city_name,country,arena_id,arena_name,address,latitude,longitude,is_active,is_confirmed
30,Москва/МО,RU,142,Ледовая арена Селятино имени В. Мышкина,"Московская область, Наро-Фоминский городской округ, рабочий посёлок Селятино, Спортивная улица, 3, стр. 4",55.516797,36.985715,True,True
30,Москва/МО,RU,65,Ледовая арена «Серебряный»,"ул. Генерала Глаголева, 10, к. 3",55.78131,37.4661998,True,True
30,Москва/МО,RU,122,"Ледовая арена ""Снежный Барс""","Большая Очаковская улица, 2, корп. 2, стр. 3",55.6906345,37.4680703,True,True
30,Москва/МО,RU,49,Ледовая арена «Солнцево»,ул. Авиаторов 7А,55.6418518,37.4023165,True,True
30,Москва/МО,RU,50,Ледовая арена «Фили»,Филёвский бульвар 38,55.7634224,37.4917732,True,True
30,Москва/МО,RU,115,Ледовая площадка Клфк ЦСКА,"Ленинградский проспект 39, стр 1",55.795498,37.5370241,True,True
30,Москва/МО,RU,141,Ледовый дворец,"Московская область, Химки, микрорайон Новогорск, Соколовская улица, вл7",55.8067076,37.7397001,True,True
30,Москва/МО,RU,66,Ледовый дворец «Альпийский лед»,ул. Юных Ленинцев 52 стр. 2,55.6997925,37.7654432,True,True
30,Москва/МО,RU,156,Ледовый дворец Армада,"Московская область, Одинцово, Молодёжная улица, 15",55.672957,37.286377,True,True
30,Москва/МО,RU,136,Ледовый дворец Дмитров,"Московская область, Дмитров, Профессиональная улица, 25",56.360155,37.521876,True,True
30,Москва/МО,RU,63,"Ледовый дворец ""Звезда""","ул. Лодочная, 12",55.8424337,37.4641885,True,True
30,Москва/МО,RU,46,Ледовый дворец «Крылатское»,"ул. Крылатская, 16",55.7667363,37.4350133,True,True
30,Москва/МО,RU,116,Ледовый дворец Малаховка,"Московская область, городской округ Люберцы, посёлок городского типа Малаховка",55.64364,38.006935,True,True
30,Москва/МО,RU,83,"Ледовый дворец ""Метеор""","Чечёрский проезд, 23",55.5307216,37.5296284,True,True
30,Москва/МО,RU,131,Ледовый дворец Наро-Фоминск им. в. Шалимова,"Московская область, Наро-Фоминск, Профсоюзная улица, 36Б",55.394625,36.721458,True,True
30,Москва/МО,RU,67,"Ледовый дворец ""Новокосинский""","ул. Николая Старостина, 8",55.7304932,37.8531492,True,True
30,Москва/МО,RU,68,Ледовый дворец «Новоухтомский»,"Новоухтомское ш., 2А",55.7130336,37.8447363,True,True
30,Москва/МО,RU,81,Ледовый дворец «Созвездие»,"ул. Голубинская, 28, к. 3",55.5951235,37.5414967,True,True
30,Москва/МО,RU,58,Ледовый дворец «Сокольники»,"ул. Сокольнический Вал, 1Б",55.7928941,37.6714915,True,True
30,Москва/МО,RU,135,"Ледовый дворец спорта ""Кристалл""","Московская область, Электросталь, улица Радио, 3",55.793739,38.441113,True,True
30,Москва/МО,RU,150,Ледовый дворец Старт арена,"Московская область, Красногорск, микрорайон Опалиха, улица Ахматовой, 26",55.817454,37.241517,True,True
30,Москва/МО,RU,78,Ледовый дворец «Хрустальный»,"ул. Профсоюзная, 97, к. 1",55.6368306,37.5276274,True,True
30,Москва/МО,RU,44,Ледовый дворец «Центральный»,"Талалихина 28, стр 4",55.7303347,37.6788183,True,True
30,Москва/МО,RU,151,Ледовый каток,"Московская область, Лобня, улица Ленина, 65, стр. 3",55.6378037,37.5226766,True,True
30,Москва/МО,RU,74,Ледовый комплекс Град,"шоссе Энтузиастов, 12, к. 2",55.7480035,37.7068301,True,True
30,Москва/МО,RU,60,Ледовый комплекс «Медведково»,"Заповедная ул., 3",55.8664631,37.6334398,True,True
30,Москва/МО,RU,80,Ледовый комплекс «Остров»,"ул. Островитянова, 10",55.6383986,37.5036474,True,True
30,Москва/МО,RU,82,Ледовый комплекс «Южный лед»,"ул. Маршала Савицкого, 7",55.5062039,37.5859637,True,True
30,Москва/МО,RU,61,Ледовый комплекс Юрловский,Юрловский проезд вл6,55.8753685,37.6130162,True,True
30,Москва/МО,RU,144,Ледовый спортивный комплекс Лыткарино,"Московская область, Лыткарино, Советская улица, 9А",55.578648,37.904251,True,True
30,Москва/МО,RU,147,Ледовый спортивный комплекс Сергиев Посад имени С. В. Фёдорова,"Московская область, Сергиев Посад, Новоугличское шоссе, 73В",56.331623,38.125608,True,True
30,Москва/МО,RU,71,"Ледовый центр ""Марьино""","Мячковский бульвар, 10, к. 3",55.6558193,37.7524035,True,True
30,Москва/МО,RU,132,"Ледовый центр ""Снежные барсы""","Москва, улица Николая Старостина, 8",55.730188,37.853227,True,True
30,Москва/МО,RU,143,Малая спортивная арена Олимпийского комплекса Лужники,"Москва, улица Лужники, 24с3",55.713915,37.545839,True,True
30,Москва/МО,RU,77,Маяк,"ул. Красного Маяка, вл28",55.6119703,37.5979874,True,True
30,Москва/МО,RU,123,МБУ ДО СШОР им. В. М. Боброва,"Московская область, Ступино, проспект Победы, вл8с1",54.893113,38.07759,True,True
30,Москва/МО,RU,158,"Многофункциональный спортивный комплекс ""Чкалов Арена""","Москва, Спортивной Авиации, дом 3",55.820875,37.426217,True,True
30,Москва/МО,RU,160,Монтреал,"Москва, Остафьевская улица, 21/1",55.5286852,37.4977783,True,True
30,Москва/МО,RU,88,Полюс Арена,"Одинцовский р-н, Рублево-Успенское ш., 23 (Горки-2)",55.72514,37.1705,True,True
30,Москва/МО,RU,113,Реутов арена,Юбилейный проспект 43,55.7446658,37.8515998,True,True
30,Москва/МО,RU,149,Снегирь Арена,"Москва, Новомосковский административный округ, район Внуково, деревня Марушкино, 2",55.592766,37.2015131,True,True
30,Москва/МО,RU,57,"Спортивный комплекс ""Арктика""",Новоорловская улица 7В,55.6320142,37.3681248,True,True
30,Москва/МО,RU,54,Спортивный комплекс «Мечта»,"ул. Конёнкова, 10Б",55.8912333,37.6150153,True,True
30,Москва/МО,RU,117,Тренировочный каток,"Московская область, Мытищи, Лётная улица, 17",55.910398,37.731518,True,True
30,Москва/МО,RU,152,Триумф,"Московская область, Химки, Совхозная улица, 23",55.8158113,37.6569271,True,True
30,Москва/МО,RU,47,УСК «Крылья Советов»,"ул. Толбухина, 10, к. 4",55.5019386,37.5412481,True,True
30,Москва/МО,RU,134,ФОК Ледовая арена имени в. Лутченко ДС Борисоглебский,"Московская область, Раменское, улица Махова, 18/2",55.564539,38.225911,True,True
30,Москва/МО,RU,161,Хоккейный комплекс академия Спартак,"Москва, Большая Тихоновская улица, 2",55.803175,37.68659,True,True
30,Москва/МО,RU,79,Центр фигурного катания Этери Тутберидзе,"Новоясеневский пр-т, 26",55.6044327,37.5324811,True,True
30,Москва/МО,RU,69,ЦСКА Арена,"Автозаводская ул., 23А",55.7015791,37.6448363,True,True
30,Москва/МО,RU,94,Чемпион,Олонецкий проезд 5/1А,55.8730167,37.6592763,True,True
30,Москва/МО,RU,95,Чемпион,Южнопортовый проезд 2,55.6993646,37.6851209,True,True
30,Москва/МО,RU,96,Чемпион,"Балаклавский проспект, 33",55.6419221,37.5824716,True,True
30,Москва/МО,RU,146,Шайба,"Московская область, городской округ Красногорск, посёлок городского типа Путилково, МКАД, 71-й километр, 16А",55.7227956,37.5914654,True,True
30,Москва/МО,RU,159,Яуза Шаркс,"Москва, набережная Академика Туполева, 15",55.760086,37.674996,True,True
31,Санкт-Петербург/ЛО,RU,179,Arena G50,"Ждановская улица, 2",59.957624,30.279316,True,True
31,Санкт-Петербург/ЛО,RU,172,Arena Hockey Family,"Ленинградская область, Всеволожский район, Свердловское городское поселение, деревня Новосаратовка, Октябрьская набережная, 22",59.851954,30.495741,True,True
31,Санкт-Петербург/ЛО,RU,163,Go-Ice,"Магнитогорская улица, 17Ч",59.936584,30.430053,True,True
31,Санкт-Петербург/ЛО,RU,170,Ice Rink,"Ленинградская область, Ломоносовский район, Аннинское городское поселение, городской посёлок Новоселье, Центральная улица, 5",59.816654,30.177093,True,True
31,Санкт-Петербург/ЛО,RU,109,Mega Ice,"Пулковское шоссе, 25, к. 1",59.8198856,30.3175254,True,True
31,Санкт-Петербург/ЛО,RU,104,Айсберг Арена,проспект Стачек 45к2,59.8468364,30.2160779,True,True
31,Санкт-Петербург/ЛО,RU,193,Айсбург Арена,"Парашютная улица, 11",60.015243,30.274351,True,True
31,Санкт-Петербург/ЛО,RU,188,Айс Град,"проспект Обуховской Обороны, 149Х",59.884099,30.438722,True,True
31,Санкт-Петербург/ЛО,RU,175,Академия ледовых видов спорта Динамо,"улица Маршала Новикова, 14",60.012543,30.264251,True,True
31,Санкт-Петербург/ЛО,RU,189,Академия хоккея,"Пражская улица, 10, корп. 2",59.880071,30.386476,True,True
31,Санкт-Петербург/ЛО,RU,171,Арена Ракета,"Пушкинский район, посёлок Шушары, Новгородский проспект, 10, корп. 2",59.8063,30.3705,True,True
31,Санкт-Петербург/ЛО,RU,169,АСК-С,"Петродворцовый район, посёлок Стрельна, Фронтовая улица, 3АБ",59.851236,30.031075,True,True
31,Санкт-Петербург/ЛО,RU,192,Балтик Арена,Василеостровский намыв,59.953744,30.19477,True,True
31,Санкт-Петербург/ЛО,RU,107,Дворец спорта Обуховец,"пр. Обуховской Обороны, 130Д",59.9029099,30.4237202,True,True
31,Санкт-Петербург/ЛО,RU,181,Динамо-Юниор,"улица Бутлерова, 36",59.996112,30.407987,True,True
31,Санкт-Петербург/ЛО,RU,185,Ижорец,"Колпинский район, посёлок Металлострой, Пушкинская улица, 3А",59.806151,30.579245,True,True
31,Санкт-Петербург/ЛО,RU,168,Карамба,"Колпино, Октябрьская улица, 8",59.736952,30.612015,True,True
31,Санкт-Петербург/ЛО,RU,102,Каток в ТРК «Континент»,Бухарестская улица 30,59.8837389,30.3693023,True,True
